Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3d printed parts","case",1,0.00,"","my 3d printer"
"Jumper Wires","Used to connect the components",1,1.00,"https://www.aliexpress.us/item/3256809279973883.html?spm=a2g0o.productlist.main.1.2b2a57ddjUjllg&algo_pvid=fe398c9d-d797-4a49-8b12-2dd283a47acc&algo_exp_id=fe398c9d-d797-4a49-8b12-2dd283a47acc-0&pdp_ext_f=%7B%22order%22%3A%22167%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.10%210.99%21%21%2175.38%216.71%21%40210325a917773282958118859ebc20%2112000049190202749%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A5bd415d%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537387&curPageLogUid=z7zT2IAva0H0&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009466288635%7C_p_origin_prod%3A","ali express"
"Mechanical Switches","Used for playback controls",3,1.00,"https://www.aliexpress.us/item/3256806111877611.html?spm=a2g0o.productlist.main.16.64d55261WQRhYw&aem_p4p_detail=202604271519173019857310313040002954662&algo_pvid=fe34d1cc-f577-436a-bccb-affe3626e4c7&algo_exp_id=fe34d1cc-f577-436a-bccb-affe3626e4c7-15&pdp_ext_f=%7B%22order%22%3A%22121%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.13%210.99%21%21%2141.63%216.74%21%402101d6ff17773283575077782e94e0%2112000036662929118%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d1a9ba8%3Bm03_new_user%3A-29895%3BpisId%3A5000000203712600&curPageLogUid=37qZ5nrgjDDO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006298192363%7C_p_origin_prod%3A&search_p4p_id=202604271519173019857310313040002954662_5","ali express"
"Rotary Encoder (with knob)","Used for volume or menu control",1,8.89,"https://a.co/d/0dQ7lI8W","amazon"
"ESP32 Development Board","Main microcontroller used to run the project",1,7.00,"https://www.aliexpress.us/item/3256805767190776.html?spm=a2g0o.productlist.main.1.76114f2f51QD4s&algo_pvid=07867ca7-c265-47f1-a9fc-afa37a4dd668&algo_exp_id=07867ca7-c265-47f1-a9fc-afa37a4dd668-0&pdp_ext_f=%7B%22order%22%3A%2220569%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.92%210.99%21%21%2153.83%216.75%21%402101dedf17773284082826059ef09d%2112000035007650502%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d1a9ba8%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537349&curPageLogUid=fhVlCmTEqaU9&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005953505528%7C_p_origin_prod%3A","ali express"
"SCREEn","TO DISPLAY",1,2.26,"https://www.aliexpress.us/item/3256808628367112.html?spm=a2g0o.productlist.main.4.6e8d1940a6LXnP&aem_p4p_detail=202604271520344700072989185920003123018&algo_pvid=b499c2df-7460-4a80-ae1f-383762d86253&algo_exp_id=b499c2df-7460-4a80-ae1f-383762d86253-3&pdp_ext_f=%7B%22order%22%3A%2249%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.76%212.26%21%21%2118.74%2115.34%21%402103128817773284343673475e7091%2112000046783815987%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d1a9ba8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=jx64AcR46B7F&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008814681864%7C_p_origin_prod%3A&search_p4p_id=202604271520344700072989185920003123018_1","ali expresss"
